Code,Region,Site,Organization,lat,lon,mgmt_area,trap_checks2022,trap_checks2023,trap_checks2024,trap_checks2025,trap_checks2026,Comment
LYA,BC,Lyall Harbour,Saturna Ecological Education Centre,48.798,-123.20032,H,0,13,0,0,0,Stopped sampling July 2023
MAS,BC,Masset,Council of the Haida Nation,54.007618,-132.14171,A,0,0,12,,62,stopped sampling mid June 2024
MIN,BC,Miners Bay,Mayne Island Conservancy,48.852116,-123.30153,H,60,55,45,64,51,
NAN,BC,Nanoose Bay,Nanoose Bay Community,49.286203,-124.135312,,0,0,0,0,109,
OON,BC,Oona River,Oona River Hatchery,53.939258,-130.243046,,0,0,0,19,0,
PAC,BC,Pacific Science Enterprise Centre,Tsleil-Waututh Nation and Fisheries and Oceans Canada,49.340105,-123.23298,I,63,35,61,0,0,
PBS,BC,Pacific Biological Station,Fisheries and Oceans Canada,49.210394,-123.95659,H,55,44,52,58,94,
PDH,BC,Pender Harbour,Pender Harbour Ocean Discovery Station,49.623357,-124.02568,G,92,82,68,59,59,
POW,BC,Powell River Marina,Powell River Volunteer,49.835512,-124.52978,G,0,25,0,0,0,2023 last year of sampling
PRI,BC,Prince Rupert,Fisheries and Oceans Canada,54.319661,-130.3182,B,0,38,7,,58,
PRN,BC,Prince Rupert North,Lax Kw'alaams First Nation,54.33341,-130.28313,,0,0,0,0,40,
PMO,BC,Port Moody,Burrard Inlet Marine Enhancement Society,49.30056,-122.87578,,0,0,0,55,63,
PRP,BC,Porpoise Bay,shishalh First Nation Fisheries Technicians,49.484078,-123.76236,H,0,38,0,0,0,2023 last year of sampling
PSJ,BC,Port of San Juan,Pacheedaht First Nation,48.563292,-124.42468,E,0,0,0,0,0,
QUA,BC,Quathiaski Cove,Hakai Institute and Quadra Island Community,50.042604,-125.21604,G,0,0,60,72,57,moved from Heriot Bay to here in 2024
RET,BC,Retreat Cove,Galiano Conservation Association,48.940555,-123.50132,H,69,70,39,14,0,
SAL,BC,Saltspring Island,Saltspring Community,48.845178,-123.489863,,0,0,0,71,69,
SIL,BC,Silva Bay,Gabriola Power Squadron,49.149062,-123.69713,H,70,79,78,73,80,
SOO,BC,Sooke Basin,T'sou-ke Nation,48.37,-123.72722,E,0,19,31,45,49,
SQU,BC,Squamish,Squamish Community,49.694611,-123.154333,,0,0,0,0,65,
SUR,BC,Surge Narrows,Surge Narrows School,50.227191,-125.11224,G,41,24,0,0,0,2023 last year of sampling
TAK,BC,Takush Harbour,Gwa'sala-'Nakwaxda'xw Nation Guardians,51.284665,-127.64141,G,0,0,0,0,0,
TOF,BC,Tofino,Jamie's Whaling Station,49.151969,-125.89702,E,0,0,50,39,40,
VIC,BC,Victoria International Marina,Gorge Waterways Action Society,48.42697,-123.38386,H,0,0,67,71,59,
WHA,BC,Whaler Bay,Institute for Multidisciplinary Ecological Research in the Salish Sea,48.884619,-123.32731,H,56,24,61,56,37,
WIN,BC,Winter Cove,Saturna Ecological Education Centre,48.809618,-123.1902,H,17,0,0,0,0,2022 only year of sampling
ANA,WA,Fidalgo Bay - Anacortes,Swinomish Indian Tribal Community,48.510059,-122.604745,NA,,,,,Y,
APS,WA,Agate Pass South - Kiana Lodge,Suquamish Tribe,47.70186,-122.581108,NA,,,,,Y,
BBA,WA,Birch Bay,DNR,48.93431,-122.763,NA,,,,,Y,
BHE,WA,Birch Head,DNR,48.937581,-122.815368,NA,,,,,Y,
CLM,WA,Chinook Landing Marina,Puyallup Tribe,47.2804,-122.4012,NA,,,,,Y,
COR,WA,Cornet Bay,Swinomish Indian Tribal Community,48.400322,-122.625143,NA,,,,,Y,
DWEST,WA,Dungeness West,Jamestown S'Klallam Tribe,,,NA,,,,,N,
FHL,WA,Friday Harbor Labs,"Friday Harbor High School in 2021, SITC from 2022 onwards",48.545314,-123.012036,NA,,,,,Y,
GAD,WA,Glen Ayr Dock,Skokomish Tribe,47.420556,-123.130105,NA,,,,,Y,
GBP,WA,Gooseberry Point,Lummi Tribe,,,NA,,,,,N,
HPD,WA,Hales Pass Dock,Lummi Nation,48.731217,-122.6694,NA,,,,,Y,
LGM,WA,Langley Marina,Whidbey Watershed Stewards,48.039166,-122.403055,NA,,,,,Y,
LMI,WA,Lummi Island,Lummi Island Community Science Group,48.68677,-122.639026,NA,,,,,Y,
LOF,WA,Lofall Community Dock,Port Gamble S'Klallam Tribe,47.815366,-122.655995,NA,,,,,Y,
MBT,WA,Mukilteo - Mount Baker Terminal,WDFW,47.95416,-122.28821,NA,,,,,Y,
MCR,WA,Clam Bay - Manchester Research Station,Puget Sound Restoration Fund,47.57377,-122.545308,NA,,,,,Y,
MST,WA,MaST Aquarium at Redondo,"UWT, MaST, SaMI",47.349217,-122.325128,NA,,,,,Y,
MUK,WA,NFRC - Mukilteo Research Station,NOAA NWFSC,47.950137,-122.302385,NA,,,,,Y,
NBY,WA,Neah Bay,Makah Tribe,48.368748,-124.613309,NA,,,,,Y,
OAK,WA,Crescent Harbor,Swinomish Indian Tribal Community,48.28485,-122.622799,NA,,,,,Y,
PDM,WA,Point Defiance Marina,"UWT, SaMI, MaST, Highline, Pt Defiance Zoo & Aquarium",47.307393,-122.516652,NA,,,,,Y,
PEN,WA,Penn Cove,Swinomish Indian Tribal Community,48.22284,-122.687963,NA,,,,,Y,
PTW,WA,Point Wilson,Port Townsend Marine Science Center,48.13576,-122.760792,NA,,,,,Y,
PWH,WA,Point Whitehorn,DNR,48.89207,-122.802,NA,,,,,Y,
QLM,WA,Quileute Marina,Quileute Natural Resources,47.910662,-124.637465,NA,,,,,Y,
ROS,WA,Rosario Head,Swinomish Indian Tribal Community,48.416618,-122.663325,NA,,,,,Y,
SEA,WA,Seabeck,Port Gamble S'Klallam Tribe,47.642722,-122.828331,NA,,,,,Y,
SHM,WA,Shilshole Bay Marina,UW,47.686589,-122.404056,NA,,,,,Y,
SMS,WA,Semiamoo Spit,"SITC, RE Sources",48.991144,-122.7713,NA,,,,,N,
SQR,WA,Sequim Bay - Runstrom,Jamestown S'Klallam Tribe,48.037076,-123.019722,NA,,,,,Y,
TBM,WA,Tulalip Bay Marina,Tulalip Tribe,48.061757,-122.279217,NA,,,,,Y,
TOK,WA,Tokeland Marina,"WDFW, Shoalwater Bay Tribe",46.707762,-123.967377,NA,,,,,Y,
WAA,WA,Wa'atch River,Makah Tribe,48.34672,-124.66292,NA,,,,,Y,
WTP,WA,Westport Marina,WDFW,46.910525,-124.111444,NA,,,,,Y,
ZIT,WA,Zittels Marina,"Nisqually Tribe, DNR Aquatic Reserves, PSI",47.165366,-122.808021,NA,,,,,Y,
